FID IID gender age
VN078 HG02128 0 77
VN079 HG02129 0 59
VN079 HG02130 1 62
VN079 HG02131 0 76
VN080 HG02132 0 43
VN080 HG02133 1 58
VN080 HG02134 0 29
VN081 HG02135 0 67
VN081 HG02136 1 69
VN081 HG02137 0 38
VN082 HG02138 0 51
VN083 HG02139 1 29
VN084 HG02140 1 70
VN085 HG02141 0 49
VN086 HG02142 1 73
BB20 HG02143 0 48
BB20 HG02144 1 32
BB20 HG02145 0 68
PEL39 HG02146 0 31
PEL39 HG02147 1 59
PEL39 HG02148 1 46
PEL40 HG02150 0 80
HG02151 HG02151 1 48
HG02152 HG02152 1 65
HG02153 HG02153 1 32
HG02154 HG02154 1 40
HG02155 HG02155 1 49
HG02156 HG02156 1 68
HG02164 HG02164 1 47
HG02165 HG02165 1 39
HG02166 HG02166 1 24
HG02178 HG02178 1 29
HG02179 HG02179 1 29
HG02180 HG02180 1 61
HG02181 HG02181 1 37
HG02182 HG02182 1 22
HG02184 HG02184 1 46
HG02185 HG02185 1 67
HG02186 HG02186 1 33
HG02187 HG02187 1 68
HG02188 HG02188 1 71
HG02190 HG02190 1 25
HG02215 HG02215 1 50
IBS055 HG02219 0 18
IBS056 HG02220 1 24
IBS056 HG02221 0 29
IBS056 HG02222 1 32
IBS057 HG02223 1 75
IBS057 HG02224 0 42
IBS057 HG02225 1 53
IBS059 HG02229 1 73
IBS059 HG02230 1 43
IBS059 HG02231 0 73
IBS060 HG02232 1 58
IBS060 HG02233 0 47
IBS060 HG02234 0 21
IBS061 HG02235 1 59
IBS061 HG02236 0 70
IBS061 HG02237 1 64
IBS062 HG02238 0 58
IBS062 HG02239 1 63
IBS062 HG02240 1 27
HG02250 HG02250 0 55
PEL41 HG02252 1 55
PEL41 HG02253 0 46
BB21 HG02255 0 80
BB21 HG02256 1 79
BB21 HG02257 1 36
BB22 HG02258 0 65
PEL42 HG02259 0 34
PEL42 HG02260 1 54
PEL42 HG02261 0 56
PEL43 HG02262 0 52
PEL44 HG02265 0 60
PEL44 HG02266 1 30
PEL46 HG02271 0 59
PEL46 HG02272 1 79
PEL46 HG02273 1 28
PEL47 HG02274 0 61
PEL47 HG02275 1 63
PEL48 HG02277 0 30
PEL48 HG02278 1 74
PEL48 HG02279 0 53
BB23 HG02280 1 38
BB24 HG02281 0 25
BB24 HG02282 1 49
BB25 HG02283 0 50
BB26 HG02284 0 52
PEL49 HG02285 0 33
PEL49 HG02286 1 64
PEL49 HG02287 1 63
PEL51 HG02291 0 18
PEL51 HG02292 1 70
PEL51 HG02293 1 71
PEL52 HG02298 1 32
PEL52 HG02299 0 57
PEL52 HG02300 1 53
PEL53 HG02301 1 74
PEL53 HG02302 0 55
PEL53 HG02303 1 67
PEL54 HG02304 0 19
BB23 HG02307 0 35
BB23 HG02308 1 42
BB25 HG02309 1 65
PEL55 HG02312 1 65
BB22 HG02314 0 23
BB22 HG02315 1 66
BB27 HG02316 0 55
BB27 HG02317 0 44
BB27 HG02318 1 75
BB24 HG02321 1 51
BB28 HG02322 1 60
BB29 HG02323 0 37
BB30 HG02325 1 53
BB33 HG02330 0 68
BB16 HG02332 0 38
BB32 HG02334 0 72
BB31 HG02337 1 79
BB34 HG02339 1 47
BB35 HG02343 0 65
PEL56 HG02345 1 39
PEL57 HG02348 1 48
HG02351 HG02351 0 80
HG02353 HG02353 0 35
HG02355 HG02355 0 58
HG02356 HG02356 0 25
HG02360 HG02360 0 49
HG02364 HG02364 0 74
HG02367 HG02367 0 78
CDX2 HG02371 0 21
HG02373 HG02373 0 31
HG02374 HG02374 0 41
HG02375 HG02375 0 20
HG02379 HG02379 0 80
HG02380 HG02380 0 27
HG02382 HG02382 0 57
HG02383 HG02383 0 44
HG02384 HG02384 0 53
HG02385 HG02385 0 50
HG02386 HG02386 0 64
HG02389 HG02389 0 42
HG02390 HG02390 0 36
HG02391 HG02391 0 30
HG02392 HG02392 0 51
HG02394 HG02394 0 64
HG02395 HG02395 0 70
HG02396 HG02396 0 36
HG02397 HG02397 0 38
HG02398 HG02398 0 52
HG02399 HG02399 0 62
HG02401 HG02401 0 20
HG02402 HG02402 0 54
HG02406 HG02406 0 23
HG02407 HG02407 0 18
HG02408 HG02408 0 76
HG02409 HG02409 0 20
HG02410 HG02410 0 25
BB36 HG02419 1 74
BB37 HG02420 0 68
PEL59 HG02425 1 58
BB37 HG02427 1 24
BB39 HG02429 0 70
BB41 HG02433 0 78
BB42 HG02439 0 42
BB43 HG02442 0 39
BB44 HG02445 0 18
BB46 HG02449 0 74
BB46 HG02450 1 22
BB46 HG02451 1 53
BB48 HG02455 0 50
GB15 HG02461 0 40
GB15 HG02462 1 57
GB15 HG02463 0 31
GB16 HG02464 0 36
GB16 HG02465 1 55
GB16 HG02466 0 46
BB49 HG02470 0 55
BB49 HG02471 1 74
BB51 HG02476 1 26
BB52 HG02477 1 66
BB53 HG02479 1 21
BB54 HG02481 0 62
BB55 HG02484 0 61
BB55 HG02485 1 64
BB45 HG02489 0 24
PK06 HG02490 0 70
PK06 HG02491 1 41
PK06 HG02492 0 64
PK07 HG02493 0 24
PK07 HG02494 1 40
PK07 HG02495 1 24
BB57 HG02496 0 62
BB57 HG02497 1 80
BB58 HG02501 0 60
BB58 HG02502 1 70
BB59 HG02505 1 28
BB60 HG02508 1 69
BB56 HG02511 1 32
VN087 HG02512 0 49
VN087 HG02513 1 73
VN087 HG02514 0 59
VN090 HG02521 0 18
VN090 HG02522 1 50
VN090 HG02523 1 64
VN91 HG02524 0 40
VN91 HG02525 1 26
VN91 HG02526 1 29
BB61 HG02536 0 32
BB61 HG02537 1 64
BB63 HG02541 0 48
BB64 HG02545 0 35
BB64 HG02546 1 60
BB65 HG02549 1 26
BB67 HG02554 0 70
BB67 HG02555 1 31
BB68 HG02557 0 72
BB68 HG02558 1 43
GB18 HG02561 0 72
GB18 HG02562 1 69
GB18 HG02563 0 50
GB20 HG02568 1 20
GB20 HG02569 0 79
GB21 HG02570 0 38
GB21 HG02571 1 22
GB21 HG02572 0 79
GB22 HG02573 0 51
GB22 HG02574 1 48
GB22 HG02575 0 19
BB69 HG02577 1 25
BB70 HG02580 1 51
GB23 HG02582 0 23
GB23 HG02583 1 21
GB23 HG02584 0 27
GB24 HG02585 0 28
GB24 HG02586 1 77
GB24 HG02587 1 38
GB25 HG02588 0 33
GB25 HG02589 1 71
GB25 HG02590 0 42
GB27 HG02594 0 44
GB27 HG02595 1 47
GB27 HG02596 0 44
PK08 HG02597 0 48
PK09 HG02600 0 74
PK09 HG02601 1 26
PK09 HG02602 0 20
PK10 HG02603 0 29
PK10 HG02604 1 75
PK10 HG02605 1 52
GB28 HG02610 0 30
GB28 HG02611 1 24
GB28 HG02612 0 57
GB29 HG02613 0 77
GB29 HG02614 1 45
GB29 HG02615 1 43
GB31 HG02620 0 41
GB31 HG02621 1 62
GB31 HG02622 1 43
GB32 HG02623 0 28
GB32 HG02624 1 73
GB32 HG02625 0 37
GB33 HG02628 0 19
GB33 HG02629 1 35
GB33 HG02630 1 39
GB35 HG02634 0 27
GB35 HG02635 1 36
GB35 HG02636 0 52
GB37 HG02642 0 51
GB37 HG02643 1 77
GB37 HG02644 0 56
GB38 HG02645 0 28
GB38 HG02646 1 24
GB38 HG02647 0 80
PK11 HG02648 0 37
PK11 HG02649 1 27
PK11 HG02650 0 66
PK12 HG02651 0 27
PK12 HG02652 1 53
PK12 HG02653 1 67
PK13 HG02654 0 50
PK13 HG02655 1 20
PK13 HG02656 0 48
PK14 HG02657 0 59
PK14 HG02658 1 21
PK14 HG02659 1 78
PK15 HG02660 0 19
PK15 HG02661 1 54
PK15 HG02662 1 80
GB40 HG02666 0 65
GB40 HG02667 1 43
GB40 HG02668 0 64
GB43 HG02675 0 63
GB43 HG02676 1 35
GB43 HG02677 1 75
GB44 HG02678 0 68
GB44 HG02679 1 34
GB44 HG02680 1 67
PK16 HG02681 0 27
PK16 HG02682 1 45
PK16 HG02683 1 46
PK17 HG02684 0 43
PK17 HG02685 1 22
PK17 HG02686 0 67
PK18 HG02687 0 71
PK18 HG02688 1 53
PK18 HG02689 0 33
PK19 HG02690 0 48
PK19 HG02691 1 63
PK19 HG02692 1 27
PK20 HG02694 1 65
PK21 HG02696 0 70
PK21 HG02697 1 69
PK21 HG02698 0 29
PK22 HG02699 0 52
PK22 HG02700 1 52
PK22 HG02701 0 33
GB45 HG02702 0 26
GB45 HG02703 1 69
GB45 HG02704 1 74
GB50 HG02715 0 67
GB50 HG02716 1 73
GB50 HG02717 0 63
GB52 HG02721 0 56
GB52 HG02722 1 38
GB52 HG02723 1 36
PK23 HG02724 0 53
PK23 HG02725 1 48
PK23 HG02726 1 28
PK24 HG02727 0 38
PK24 HG02728 1 80
PK24 HG02729 0 28
PK25 HG02731 1 20
PK26 HG02733 0 38
PK26 HG02734 1 32
PK26 HG02735 0 56
PK27 HG02736 0 42
PK27 HG02737 1 36
PK27 HG02738 0 62
GB53 HG02756 0 28
GB53 HG02757 1 77
GB54 HG02759 0 69
GB54 HG02760 1 18
GB54 HG02761 1 60
GB55 HG02762 0 35
GB55 HG02763 1 75
GB55 HG02764 0 31
GB57 HG02768 0 33
GB57 HG02769 1 37
GB57 HG02770 1 45
GB58 HG02771 0 50
GB58 HG02772 1 75
GB58 HG02773 0 49
PK28 HG02774 0 48
PK28 HG02775 1 34
PK28 HG02776 1 38
PK29 HG02778 1 52
PK30 HG02780 0 49
PK31 HG02783 0 32
PK31 HG02784 1 23
PK31 HG02785 1 23
PK32 HG02786 0 51
PK32 HG02787 1 80
PK32 HG02788 1 35
PK33 HG02789 0 66
PK33 HG02790 1 33
PK33 HG02791 0 77
PK34 HG02792 0 22
PK34 HG02793 1 47
PK34 HG02794 0 35
GB60 HG02798 0 50
GB60 HG02799 1 28
GB60 HG02800 0 26
GB62 HG02804 0 76
GB62 HG02805 1 63
GB62 HG02806 1 80
GB63 HG02807 0 62
GB63 HG02808 1 75
GB63 HG02809 1 60
GB64 HG02810 0 23
GB64 HG02811 1 26
GB64 HG02812 0 33
GB65 HG02813 0 63
GB65 HG02814 1 75
GB65 HG02815 0 56
GB66 HG02816 0 76
GB66 HG02817 1 55
GB66 HG02818 1 79
GB67 HG02819 0 49
GB67 HG02820 1 47
GB67 HG02821 0 38
GB73 HG02836 0 49
GB73 HG02837 1 37
GB73 HG02838 0 61
GB74 HG02839 0 37
GB74 HG02840 1 30
GB74 HG02841 1 62
GB78 HG02851 0 18
GB78 HG02852 1 36
GB78 HG02853 0 46
GB79 HG02854 0 77
GB79 HG02855 1 74
GB79 HG02856 0 63
GB81 HG02860 0 58
GB81 HG02861 1 79
GB81 HG02862 1 41
GB84 HG02869 0 48
GB84 HG02870 1 64
GB84 HG02871 1 41
GB87 HG02878 0 49
GB87 HG02879 1 36
GB87 HG02880 1 37
GB88 HG02881 0 37
GB88 HG02882 1 28
GB88 HG02883 0 34
GB89 HG02884 0 32
GB89 HG02885 1 61
GB89 HG02886 1 45
GB90 HG02887 0 49
GB90 HG02888 1 43
GB90 HG02889 1 68
GB91 HG02890 0 42
GB91 HG02891 1 51
GB91 HG02892 0 50
GB93 HG02895 0 25
GB93 HG02896 1 45
GB93 HG02897 1 41
NG06 HG02922 1 55
NG06 HG02923 0 23
NG06 HG02924 0 55
NG11 HG02938 0 65
NG12 HG02941 0 68
NG13 HG02943 1 54
NG13 HG02944 0 24
NG13 HG02945 1 70
NG14 HG02946 1 25
NG14 HG02947 0 18
NG14 HG02948 0 37
NG16 HG02952 1 55
NG16 HG02953 0 80
NG16 HG02954 0 30
NG20 HG02964 1 61
NG20 HG02965 0 33
NG20 HG02966 0 27
NG21 HG02968 0 76
NG22 HG02970 1 26
NG22 HG02971 0 60
NG22 HG02972 0 29
NG23 HG02973 0 60
NG23 HG02974 1 80
NG23 HG02975 0 31
NG24 HG02976 1 44
NG24 HG02977 0 76
NG24 HG02978 1 76
NG25 HG02979 1 37
NG25 HG02980 0 25
NG25 HG02981 0 48
GB97 HG02982 0 33
GB97 HG02983 1 79
GB97 HG02984 0 53
BD01 HG03006 0 51
BD01 HG03007 1 74
BD01 HG03008 0 78
HG03009 HG03009 0 52
BD3 HG03012 0 63
PK35 HG03015 0 32
PK35 HG03016 1 50
PK35 HG03017 0 76
PK36 HG03018 0 66
PK36 HG03019 1 71
PK37 HG03021 0 41
HG03022 HG03022 1 72
GB105 HG03024 0 19
GB105 HG03025 1 73
GB105 HG03026 1 31
GB106 HG03027 0 43
GB106 HG03028 1 62
GB106 HG03029 0 63
GB108 HG03033 0 37
GB108 HG03034 1 42
GB108 HG03035 0 53
GB110 HG03039 0 58
GB110 HG03040 1 39
GB110 HG03041 1 44
GB112 HG03045 0 36
GB112 HG03046 1 18
GB112 HG03047 1 36
GB113 HG03048 0 55
GB113 HG03049 1 31
GB113 HG03050 0 68
SL01 HG03052 1 36
SL02 HG03054 0 79
SL02 HG03055 1 32
SL02 HG03056 0 19
HG03057 HG03057 0 31
SL03 HG03058 1 58
HG03060 HG03060 0 38
SL04 HG03061 1 43
SL05 HG03063 0 71
SL05 HG03064 1 79
SL05 HG03065 0 20
SL06 HG03066 0 76
SL07 HG03069 0 78
SL08 HG03072 0 22
SL08 HG03073 1 27
HG03074 HG03074 0 31
HG03077 HG03077 0 41
HG03078 HG03078 0 63
SL10 HG03079 1 39
SL11 HG03081 0 40
SL11 HG03082 1 24
HG03084 HG03084 0 57
HG03085 HG03085 1 23
HG03086 HG03086 1 75
SL13 HG03088 1 55
SL14 HG03091 1 55
SL15 HG03095 1 71
SL16 HG03096 0 74
SL16 HG03097 1 28
SL16 HG03098 0 27
NG26 HG03099 1 66
NG26 HG03100 0 32
NG26 HG03101 0 35
NG27 HG03103 0 51
NG28 HG03105 1 63
NG29 HG03108 1 24
NG29 HG03109 0 67
NG29 HG03110 1 58
NG30 HG03111 1 43
NG30 HG03112 0 21
NG30 HG03113 1 29
NG31 HG03114 1 34
NG31 HG03115 0 32
NG31 HG03116 1 25
NG32 HG03117 1 34
NG32 HG03118 0 69
NG32 HG03119 1 20
NG33 HG03120 0 54
NG33 HG03121 1 31
NG33 HG03122 0 49
NG34 HG03123 1 67
NG34 HG03124 0 27
NG34 HG03125 1 59
NG35 HG03126 1 47
NG35 HG03127 0 39
NG35 HG03128 0 51
NG36 HG03129 1 21
NG36 HG03130 0 20
NG36 HG03131 0 29
NG37 HG03132 1 72
NG37 HG03133 0 26
NG37 HG03134 0 62
NG38 HG03135 1 21
NG38 HG03136 0 58
NG38 HG03137 0 47
NG39 HG03139 0 46
NG45 HG03157 0 34
NG46 HG03159 1 59
NG46 HG03160 0 35
NG46 HG03161 0 19
NG47 HG03162 1 26
NG47 HG03163 0 80
NG47 HG03164 1 33
NG48 HG03166 0 35
NG49 HG03168 1 64
NG49 HG03169 0 41
NG49 HG03170 0 42
NG50 HG03172 0 60
NG51 HG03175 0 45
NG56 HG03189 1 72
NG56 HG03190 0 59
NG56 HG03191 0 75
NG57 HG03193 0 56
NG58 HG03195 1 22
NG58 HG03196 0 76
NG58 HG03197 0 28
NG59 HG03198 1 31
NG59 HG03199 0 64
NG59 HG03200 1 57
NG60 HG03202 0 21
SL17 HG03209 0 75
SL18 HG03212 1 49
SL22 HG03224 0 65
SL23 HG03225 0 29
PK38 HG03228 0 33
PK38 HG03229 1 54
PK38 HG03230 1 62
PK40 HG03234 0 76
PK40 HG03235 1 74
PK40 HG03236 1 68
PK41 HG03237 0 31
PK41 HG03238 1 45
PK41 HG03239 1 48
GB114 HG03240 0 40
GB114 HG03241 1 42
GB114 HG03242 0 53
GB116 HG03246 0 31
GB116 HG03247 1 65
GB116 HG03248 0 59
GB117 HG03249 0 24
GB117 HG03250 1 70
GB117 HG03251 1 78
GB120 HG03258 0 50
GB120 HG03259 1 24
GB120 HG03260 0 28
NG63 HG03265 0 50
NG64 HG03267 1 77
NG64 HG03268 0 63
NG64 HG03269 0 80
NG65 HG03270 1 49
NG65 HG03271 0 41
NG65 HG03272 1 66
NG68 HG03279 1 18
NG68 HG03280 0 43
NG72 HG03291 1 66
NG73 HG03294 1 56
NG73 HG03295 0 36
NG73 HG03296 0 66
NG74 HG03297 1 65
NG74 HG03298 0 55
NG74 HG03299 0 77
NG75 HG03300 1 25
NG75 HG03301 0 51
NG75 HG03302 0 62
NG76 HG03303 1 76
NG76 HG03304 0 36
NG76 HG03305 1 36
NG77 HG03306 1 35
NG77 HG03307 0 31
NG77 HG03308 0 35
NG78 HG03309 1 46
NG78 HG03310 1 38
NG78 HG03311 0 76
NG79 HG03312 1 50
NG79 HG03313 0 29
NG79 HG03314 0 49
NG89 HG03342 1 30
NG89 HG03343 0 48
NG89 HG03344 0 21
NG92 HG03350 0 27
NG92 HG03351 1 73
NG92 HG03352 0 42
NG93 HG03354 1 67
NG96 HG03363 1 48
NG97 HG03366 1 67
NG97 HG03367 0 32
NG97 HG03368 0 61
NG98 HG03369 1 68
NG98 HG03370 0 66
NG98 HG03371 0 80
NG99 HG03372 1 53
NG99 HG03373 0 62
NG99 HG03374 1 37
SL24 HG03376 0 52
HG03378 HG03378 1 43
SL25 HG03380 1 41
SL26 HG03382 0 66
SL27 HG03385 0 39
SL28 HG03388 0 28
SL29 HG03391 0 40
SL30 HG03394 0 78
HG03397 HG03397 0 74
SL32 HG03401 1 21
SL35 HG03410 1 52
SL38 HG03419 1 76
SL42 HG03428 1 79
HG03432 HG03432 0 68
HG03433 HG03433 0 45
HG03436 HG03436 0 78
HG03437 HG03437 1 73
SL56 HG03438 1 22
SL46 HG03439 0 59
HG03442 HG03442 0 75
HG03445 HG03445 0 21
HG03446 HG03446 1 68
SL49 HG03449 1 22
SL50 HG03451 0 36
SL50 HG03452 1 33
SL50 HG03453 1 46
SL51 HG03454 0 40
SL51 HG03455 1 57
SL51 HG03456 0 78
HG03457 HG03457 0 23
SL52 HG03458 1 18
HG03460 HG03460 0 58
HG03461 HG03461 1 48
SL54 HG03464 1 52
SL56i HG03469 0 34
SL56 HG03470 1 62
HG03472 HG03472 0 45
SL57 HG03473 1 36
SL58 HG03476 1 57
SL59 HG03478 0 48
SL59 HG03479 1 78
SL59 HG03480 1 20
SL61 HG03484 0 73
SL61 HG03485 1 30
SL61 HG03486 1 76
PK42 HG03487 0 46
PK42 HG03488 1 50
PK42 HG03489 0 52
PK43 HG03490 0 61
PK43 HG03491 1 35
PK43 HG03492 0 54
NG102 HG03499 1 54
NG106 HG03511 0 76
NG107 HG03514 1 61
NG107 HG03515 0 72
NG107 HG03516 1 67
NG108 HG03517 1 58
NG108 HG03518 0 25
NG108 HG03519 0 30
NG109 HG03520 1 68
NG109 HG03521 0 55
NG109 HG03522 1 80
GB125 HG03538 0 48
GB125 HG03539 1 26
GB125 HG03540 1 49
HG03547 HG03547 0 65
HG03548 HG03548 1 38
HG03556 HG03556 0 63
HG03557 HG03557 1 43
HG03558 HG03558 1 43
SL66 HG03559 0 57
SL67 HG03563 1 34
HG03565 HG03565 0 25
HG03567 HG03567 1 75
SL70 HG03571 0 80
SL70 HG03572 1 59
SL71 HG03574 0 38
SL71 HG03575 1 62
SL71 HG03576 1 27
SL72 HG03577 0 24
SL72 HG03578 1 35
SL72 HG03579 0 52
SL73 HG03582 0 54
SL73 HG03583 1 20
SL73 HG03584 1 26
BD4 HG03585 0 54
BD05 HG03589 1 39
BD6 HG03593 0 62
BD7 HG03594 0 49
BD7 HG03595 1 68
BD7 HG03596 0 62
BD8 HG03598 1 36
BD09 HG03600 0 58
BD10 HG03603 0 80
BD10 HG03604 1 38
BD11 HG03605 1 24
BD11 HG03606 0 46
BD11 HG03607 1 55
BD12 HG03611 1 50
BD14 HG03615 0 22
BD14 HG03616 1 18
BD14 HG03617 1 59
PK44 HG03618 0 78
PK44 HG03619 1 49
PK44 HG03620 1 29
PK46 HG03624 0 34
PK46 HG03625 1 67
PK46 HG03626 1 66
PK47 HG03629 0 68
PK48 HG03631 1 48
PK49 HG03633 0 34
PK49 HG03634 1 22
PK49 HG03635 1 33
PK50 HG03636 0 50
PK51 HG03639 0 24
PK51 HG03640 1 55
PK51 HG03641 0 45
ST006 HG03642 1 32
ST004 HG03643 1 67
ST004 HG03644 0 37
ST002 HG03645 1 30
ST001 HG03646 0 48
PK52 HG03649 0 50
PK52 HG03650 1 28
PK52 HG03651 0 52
PK53 HG03652 0 51
PK53 HG03653 1 77
PK53 HG03654 0 58
PK55 HG03660 0 72
PK56 HG03663 0 32
PK58 HG03667 0 44
PK58 HG03668 1 65
PK58 HG03669 1 27
ST008 HG03672 0 28
ST010 HG03673 1 59
ST006 HG03679 0 69
ST009 HG03680 0 49
ST011 HG03681 0 60
ST012 HG03682 0 80
ST012 HG03683 1 66
ST012 HG03684 1 18
ST013 HG03685 0 30
ST014 HG03686 0 25
ST015 HG03687 0 18
ST016 HG03688 0 23
ST017 HG03689 1 36
ST018 HG03690 1 73
ST019 HG03691 0 65
ST020 HG03692 1 49
ST021 HG03693 0 43
ST022 HG03694 0 45
ST023 HG03695 0 31
ST024 HG03696 0 71
ST025 HG03697 0 79
ST026 HG03698 1 20
PK59 HG03699 0 57
PK59 HG03700 1 29
PK59 HG03701 0 62
PK60 HG03702 0 64
PK60 HG03703 1 19
PK60 HG03704 1 49
PK61 HG03705 0 71
PK61 HG03706 1 40
PK61 HG03707 0 25
PK62 HG03708 0 61
PK62 HG03709 1 24
PK62 HG03710 0 79
ST027 HG03711 0 30
IT001 HG03713 0 70
IT009 HG03714 1 71
IT009 HG03716 0 60
IT010 HG03717 1 70
IT010 HG03718 0 32
IT002 HG03719 1 49
IT052 HG03720 0 18
IT003 HG03721 1 43
IT002 HG03722 1 38
IT002 HG03725 0 41
IT003 HG03727 0 45
IT013 HG03729 0 23
IT011 HG03730 1 78
IT013 HG03731 1 51
IT003 HG03732 0 45
ST041 HG03733 1 66
ST043 HG03736 1 65
ST044 HG03738 0 59
ST038 HG03740 0 52
ST038 HG03741 1 63
IT015 HG03742 0 35
ST046 HG03743 0 67
ST047 HG03744 0 47
ST049 HG03745 0 36
ST050 HG03746 0 57
ST051 HG03750 0 61
ST053 HG03752 1 25
ST054 HG03753 0 50
ST051 HG03754 1 21
ST052 HG03755 0 39
ST052 HG03756 1 19
ST046 HG03757 1 59
ST058 HG03760 1 30
PK63 HG03761 0 46
PK63 HG03762 1 27
PK63 HG03763 0 54
PK64 HG03765 1 26
PK65 HG03767 0 57
IT016 HG03770 1 67
IT016 HG03771 0 50
IT004 HG03772 1 30
IT004 HG03773 0 44
IT020 HG03774 1 24
IT020 HG03775 0 50
IT022 HG03777 0 70
IT21 HG03778 0 27
IT019 HG03779 0 63
IT039 HG03780 1 27
IT018 HG03781 1 75
IT029 HG03782 1 27
IT023 HG03784 1 77
IT024 HG03785 0 39
IT023 HG03786 0 58
IT027 HG03787 1 25
IT028 HG03788 0 59
IT028 HG03789 1 27
IT025 HG03790 0 68
IT026 HG03792 0 75
BD15 HG03793 1 77
BD15 HG03794 0 37
BD15 HG03795 0 65
BD16 HG03796 1 76
BD16 HG03797 0 56
BD16 HG03798 0 63
BD17 HG03799 1 65
BD17 HG03800 0 77
BD17 HG03801 1 20
BD18 HG03802 1 45
BD18 HG03803 0 19
BD18 HG03804 1 67
BD19 HG03805 1 45
BD19 HG03806 0 68
BD19 HG03807 1 41
BD20 HG03808 1 60
BD20 HG03809 0 68
HG03812 HG03812 0 41
BD22 HG03814 1 50
BD22 HG03815 0 72
BD22 HG03816 1 56
BD23 HG03817 1 61
BD24 HG03821 0 18
BD25 HG03823 1 31
BD25 HG03824 0 38
BD25 HG03825 1 45
BD26 HG03826 1 54
BD27 HG03829 1 25
BD27 HG03830 0 37
BD27 HG03831 1 47
BD28 HG03832 1 25
BD28 HG03833 0 18
BD28 HG03834 1 67
ST074 HG03836 1 74
ST079 HG03837 0 50
ST078 HG03838 1 74
ST075 HG03844 0 75
ST080 HG03846 0 50
ST084 HG03848 0 28
ST082 HG03849 1 42
ST082 HG03850 0 32
ST089 HG03851 0 73
ST094 HG03854 0 29
ST092 HG03856 0 18
ST091 HG03857 1 20
ST090 HG03858 1 78
IT032 HG03861 1 61
IT035 HG03862 1 66
IT033 HG03863 1 45
IT034 HG03864 0 58
IT030 HG03866 0 46
IT038 HG03867 0 77
IT5 HG03868 1 69
IT035 HG03869 0 74
IT037 HG03870 0 80
HG03871 HG03871 0 80
IT036 HG03872 0 56
IT030 HG03873 1 68
IT006 HG03874 1 70
IT40 HG03875 0 71
IT039a HG03882 1 72
ST039 HG03884 1 60
ST016 HG03885 0 65
ST016 HG03886 1 55
ST106 HG03887 0 25
ST050 HG03888 1 74
ST110 HG03890 0 69
ST111 HG03894 1 28
ST107 HG03895 1 71
ST111 HG03896 0 31
ST115 HG03897 1 36
ST114 HG03898 1 24
ST114 HG03899 0 55
ST115 HG03900 0 21
HG03902 HG03902 0 72
BD30 HG03904 1 46
BD30 HG03905 0 47
BD30 HG03906 0 51
BD31 HG03907 1 25
BD31 HG03908 0 32
BD31 HG03909 0 28
BD32 HG03910 1 19
BD32 HG03911 0 66
BD33 HG03913 1 59
BD33 HG03914 0 49
BD33 HG03915 1 54
HG03916 HG03916 1 56
BD34 HG03917 0 54
BD35 HG03919 1 75
BD35 HG03920 0 67
BD36 HG03922 1 77
BD37 HG03925 1 71
BD37 HG03926 0 42
BD37 HG03927 1 53
BD38 HG03928 1 23
BD38 HG03929 0 75
BD38 HG03930 1 49
BD39 HG03931 1 70
BD40 HG03934 1 71
BD41 HG03937 1 70
BD42 HG03940 1 69
BD42 HG03941 0 59
BD42 HG03942 0 33
ST116 HG03943 0 60
ST116 HG03944 1 45
ST117 HG03945 1 30
ST118 HG03947 1 38
ST123 HG03949 1 56
ST090 HG03950 0 51
ST013 HG03951 1 36
ST122 HG03953 0 31
ST119 HG03955 1 23
IT044 HG03960 0 78
IT042 HG03963 0 27
IT45 HG03965 0 19
IT51 HG03967 0 21
IT046 HG03968 1 21
IT046 HG03969 0 65
IT048 HG03971 0 79
IT050 HG03973 1 57
IT049 HG03974 0 18
IT050 HG03976 0 47
IT047 HG03977 1 33
IT047 HG03978 0 55
ST144 HG03985 0 68
ST106 HG03986 1 51
ST145 HG03989 1 29
ST142 HG03990 0 77
ST143 HG03991 0 73
ST116 HG03992 0 60
ST021 HG03995 1 33
ST147 HG03998 0 65
ST007 HG03999 0 33
IT053 HG04001 1 44
IT053 HG04002 0 69
ST152 HG04003 0 59
ST078 HG04006 0 77
IT059 HG04014 1 43
IT060 HG04015 0 55
IT061 HG04017 0 48
IT007 HG04018 1 31
IT056 HG04019 0 19
IT059 HG04020 0 65
IT062 HG04022 0 67
IT058 HG04023 0 57
IT058 HG04025 1 58
IT061 HG04026 1 70
ST154 HG04029 1 42
ST076 HG04033 0 59
ST094 HG04035 1 50
ST116 HG04036 1 73
ST170 HG04038 1 68
ST172 HG04039 0 66
ST171 HG04042 1 18
ST173 HG04047 1 52
IT180 HG04054 1 62
IT180 HG04056 0 80
IT184 HG04059 1 19
IT183 HG04060 0 63
IT182 HG04061 0 40
IT182 HG04062 1 40
IT183 HG04063 1 72
IT45 HG04070 1 42
ST190 HG04075 1 55
IT191 HG04076 1 60
IT194 HG04080 0 67
IT199 HG04090 1 32
IT199 HG04093 0 26
IT201 HG04094 0 27
IT202 HG04096 0 52
IT205 HG04098 0 26
ST203 HG04099 1 35
ST203 HG04100 0 48
ST176 HG04106 1 68
ST176 HG04107 0 22
ST111 HG04115 0 75
IT214 HG04118 1 59
ST190 HG04122 0 26
ST190 HG04127 0 75
BD44 HG04131 0 55
BD44 HG04132 1 63
BD44 HG04133 1 75
BD45 HG04134 0 63
BD45 HG04135 1 78
BD45 HG04136 1 41
BD47 HG04140 0 59
BD47 HG04141 1 26
